alpha|beta|ServoAngleA|ServoAngleB|ServoAngleC
-21|-14|16.29120997783157|30.81627351697057|66.34410134335118
-20|-14|17.632382693555243|30.24100334785146|65.59426372259406
-19|-14|18.364132968156426|29.68524857027122|64.88076379252686
-18|-14|18.777171610443133|29.14807083160612|64.19839961351029
-17|-14|19.22675853667647|28.62859505253654|63.54290807658083
-16|-14|19.71226757229958|28.12600463013824|62.91074145774154
-15|-14|20.233219994930096|27.639537114865675|61.96587637159527
-14|-14|20.789261406640932|27.16848030848403|60.92593455761189
-13|-14|21.380143524541637|26.712168737446127|59.91365687853413
-12|-14|22.005709956773273|26.269980462462158|58.92686354231175
-11|-14|22.665885215046785|25.84133419030944|57.96362647073723
-10|-14|23.360666368838167|25.425686658449294|57.02222840709598
-9|-14|24.090116873282987|25.022530266894606|56.10113037910526
-8|-14|24.854362206825563|24.631390935126987|55.198945513317845
-7|-14|25.653587040055093|24.251826164782045|54.31441774355325
-6|-14|26.48803372786015|23.883423291388127|53.44640433725545
-5|-14|27.358001976559045|23.525797910714267|52.59386143432796
-4|-14|28.263849589078845|23.178592467318218|51.75583198803844
-3|-14|29.205994237264626|22.84147499472232|50.931435640132136
-2|-14|30.1849162534683|22.514137998331947|50.11986016781286
-1|-14|31.20116247605994|22.19629747377452|49.32035421931916
0|-14|32.25535122785017|21.887692054815076|48.53222111470436
1|-14|0|0|0
2|-14|0|0|0
3|-14|0|0|0
4|-14|0|0|0
5|-14|0|0|0
6|-14|0|0|0
7|-14|0|0|0
8|-14|0|0|0
9|-14|0|0|0
10|-14|0|0|0
11|-14|0|0|0
12|-14|0|0|0
13|-14|0|0|0
14|-14|0|0|0
15|-14|0|0|0
16|-14|0|0|0
17|-14|0|0|0
18|-14|0|0|0
19|-14|0|0|0
20|-14|0|0|0
21|-14|0|0|0
22|-14|0|0|0
23|-14|0|0|0
24|-14|0|0|0
25|-14|0|0|0
26|-14|0|0|0
27|-14|0|0|0
28|-14|0|0|0
29|-14|0|0|0
30|-14|0|0|0
-30|-13|4.287462628451479|38.213825205315146|74.47323361355281
-29|-13|5.563280083328138|37.38344966674|72.9189982888083
-28|-13|6.86753116185416|36.5855067817505|71.59136291144088
-27|-13|8.192778608129387|35.81811799231868|70.42103143827988
-26|-13|9.532653499865475|35.07955172286435|69.36726220370822
-25|-13|10.881774792048631|34.368208876787655|68.40369541054011
-24|-13|12.235635663803109|33.682610183391155|67.51211725559337
-23|-13|13.590482463124715|33.02138510256352|66.67932165497182
-22|-13|14.943200081525575|32.38326205049252|65.89537342557114
-21|-13|16.29120997783157|31.767059753278183|65.15257613545249
-20|-13|17.632382693555172|31.171679569627663|64.44482369437645
-19|-13|18.364132968156426|30.59609865106914|63.76717442901945
-18|-13|18.777171610443148|30.039363829949643|63.11556084957539
-17|-13|19.22675853667647|29.500586143110326|62.294294386672384
-16|-13|19.712267572299567|28.978935913472853|61.22796562782622
-15|-13|20.233219994930096|28.473638323532604|60.191947517403506
-14|-13|20.789261406640932|27.983969424461478|59.183806467298126
-13|-13|21.380143524541637|27.509252532599085|58.20140053112824
-12|-13|22.005709956773302|27.048854971865765|57.24283037514127
-11|-13|22.6658852150468|26.6021851263288|56.30640059055557
-10|-13|23.360666368838153|26.1686897719837|55.39058878845311
-9|-13|24.090116873282987|25.747851660939148|54.494020636855524
-8|-13|24.8543622068256|25.339187334742796|53.615449494855596
-7|-13|25.65358704005513|24.942245146659765|52.753739646190425
-6|-13|26.48803372786012|24.55660347540075|51.907852382496124
-5|-13|27.35800197655901|24.18186911515796|51.07683436589872
-4|-13|28.26384958907886|23.817675828909977|50.25980783226296
-3|-13|29.205994237264605|23.463683053841734|49.45596229425449
-2|-13|30.18491625346831|23.119574749441178|48.66454747693344
-1|-13|31.20116247605994|22.78505838041434|47.88486727449329
0|-13|32.25535122785017|22.459864028037003|47.11627455969023
1|-13|33.348178555296386|22.143743624966575|46.35816671077057
2|-13|34.48042591294595|21.836470309899767|45.609981746738825
3|-13|0|0|0
4|-13|0|0|0
5|-13|0|0|0
6|-13|0|0|0
7|-13|0|0|0
8|-13|0|0|0
9|-13|0|0|0
10|-13|0|0|0
11|-13|0|0|0
12|-13|0|0|0
13|-13|0|0|0
14|-13|0|0|0
15|-13|0|0|0
16|-13|0|0|0
17|-13|0|0|0
18|-13|0|0|0
19|-13|0|0|0
20|-13|0|0|0
21|-13|0|0|0
22|-13|0|0|0
23|-13|0|0|0
24|-13|0|0|0
25|-13|0|0|0
26|-13|0|0|0
27|-13|0|0|0
28|-13|0|0|0
29|-13|0|0|0
30|-13|0|0|0
-30|-12|4.287462628451479|39.384740109550876|72.39024563908802
-29|-12|5.563280083328209|38.530891642302976|71.09669792858438
-28|-12|6.8675311618541315|37.7099814084884|69.9498094232708
-27|-12|8.192778608129345|36.920092531719746|68.91298202922158
-26|-12|9.532653499865518|36.159459823202475|67.96207517843821
-25|-12|10.881774792048631|35.42645446474156|67.0801773096064
-24|-12|12.235635663803109|34.71957070320643|66.25489989267038
-23|-12|13.590482463124616|34.037414228509135|65.47684864017458
-22|-12|14.943200081525504|33.378691971459325|64.73870042205047
-21|-12|16.291209977831542|32.742203107697485|64.03461598555337
-20|-12|17.632382693555186|32.12683109289559|63.35985018215605
-19|-12|18.364132968156383|31.531536585203924|62.685915159721986
-18|-12|18.777171610443148|30.95535113543687|61.58836089922826
-17|-12|19.226758536676456|30.397371545181088|60.524161398619114
-16|-12|19.712267572299567|29.856754808938263|59.49057089029171
-15|-12|20.23321999493008|29.332713569410757|58.48518644048704
-14|-12|20.789261406640932|28.82451202570857|57.505888071788945
-13|-12|21.380143524541637|28.331462243082775|56.550791972117814
-12|-12|22.005709956773273|27.852920820143616|55.6182134386762
-11|-12|22.665885215046757|27.388285875685014|54.70663717745924
-10|-12|23.360666368838118|26.936994322439077|53.814693239423065
-9|-12|24.090116873282987|26.498519399506023|52.94113733187312
-8|-12|24.854362206825627|26.072368438986075|52.08483456606826
-7|-12|25.65358704005508|25.658080845599223|51.24474593293367
-6|-12|26.488033727860135|25.25522627090688|50.41991696654443
-5|-12|27.358001976559038|24.863402966226467|49.60946817856079
-4|-12|28.26384958907888|24.482236300514984|48.81258693888424
-3|-12|29.205994237264626|24.111377431449334|48.02852054722531
-2|-12|30.184916253468316|23.750502119689067|47.25657029318442
-1|-12|31.20116247605994|23.39930967791468|46.49608634316135
0|-12|32.255351227850134|23.05752204772437|45.74646332405076
1|-12|33.348178555296386|22.724882998873973|45.00713649847546
2|-12|34.48042591294595|22.401157446691556|44.27757844592314
3|-12|35.65296954582316|22.0861308848107|43.55729617977741
4|-12|0|0|0
5|-12|0|0|0
6|-12|0|0|0
7|-12|0|0|0
8|-12|0|0|0
9|-12|0|0|0
10|-12|0|0|0
11|-12|0|0|0
12|-12|0|0|0
13|-12|0|0|0
14|-12|0|0|0
15|-12|0|0|0
16|-12|0|0|0
17|-12|0|0|0
18|-12|0|0|0
19|-12|0|0|0
20|-12|0|0|0
21|-12|0|0|0
22|-12|0|0|0
23|-12|0|0|0
24|-12|0|0|0
25|-12|0|0|0
26|-12|0|0|0
27|-12|0|0|0
28|-12|0|0|0
29|-12|0|0|0
30|-12|0|0|0
-30|-11|4.287462628451479|40.57906695485939|70.65607167703521
-29|-11|5.563280083328209|39.70182088413176|69.5252872251484
-28|-11|6.8675311618541315|38.85803361767585|68.49990286796424
-27|-11|8.19277860812943|38.0457458101533|67.55734403460531
-26|-11|9.532653499865603|37.263155268766965|66.68162948883436
-25|-11|10.881774792048589|36.50860067796955|65.86095972432085
-24|-11|12.235635663803109|35.78054752722253|65.08633256186899
-23|-11|13.590482463124644|35.07757587144483|64.35069680726896
-22|-11|14.943200081525518|34.398369628323344|63.64840841828766
-21|-11|16.291209977831542|33.74170717404443|62.97486661608343
-20|-11|17.632382693555186|33.10645304363212|62.0137509041801
-19|-11|18.36413296815644|32.49155057710362|60.91638613289496
-18|-11|18.777171610443133|31.896015380386523|59.85277662251393
-17|-11|19.226758536676485|31.318929492085545|58.82019829850337
-16|-11|19.71226757229958|30.75943616500821|57.8162618988036
-15|-11|20.23321999493008|30.216735185818152|56.83885533186002
-14|-11|20.789261406640932|29.690078667993475|55.886098484536404
-13|-11|21.380143524541637|29.17876726298683|54.956307324766726
-12|-11|22.005709956773288|28.6821467425399|54.047965050043835
-11|-11|22.665885215046785|28.199604911819506|53.15969865124327
-10|-11|23.360666368838153|27.730568818685427|52.29025969129528
-9|-11|24.09011687328301|27.274502229170608|51.43850840239765
-8|-11|24.85436220682559|26.830903343309963|50.603400423991026
-7|-11|25.65358704005505|26.399302728935403|49.7839756629781
-6|-11|26.48803372786012|25.979261454056683|48.97934887525025
-5|-11|27.358001976559038|25.570369401060375|48.188701655458836
-4|-11|28.26384958907886|25.17224374825279|47.41127558837701
-3|-11|29.205994237264612|24.784527606303328|46.646366365914666
-2|-11|30.1849162534683|24.40688879896438|45.89331871295599
-1|-11|31.20116247605995|24.039018779091293|45.15152199563559
0|-11|32.25535122785017|23.68063167249985|44.42040640956961
1|-11|33.34817855529641|23.33146344361186|43.69943966448799
2|-11|34.48042591294591|22.991271178179332|42.98812409682323
3|-11|35.652969545823126|22.65983247967324|42.285994153970044
4|-11|36.86679190758732|22.336944977202734|41.592614203794646
5|-11|38.12299556135359|22.022425944118055|40.907576631035944
6|-11|0|0|0
7|-11|0|0|0
8|-11|0|0|0
9|-11|0|0|0
10|-11|0|0|0
11|-11|0|0|0
12|-11|0|0|0
13|-11|0|0|0
14|-11|0|0|0
15|-11|0|0|0
16|-11|0|0|0
17|-11|0|0|0
18|-11|0|0|0
19|-11|0|0|0
20|-11|0|0|0
21|-11|0|0|0
22|-11|0|0|0
23|-11|0|0|0
24|-11|0|0|0
25|-11|0|0|0
26|-11|0|0|0
27|-11|0|0|0
28|-11|0|0|0
29|-11|0|0|0
30|-11|0|0|0
-30|-10|4.287462628451522|41.79711021051021|69.14340883152826
-29|-10|5.563280083328138|40.89649788438532|68.12473661755023
-28|-10|6.8675311618541315|40.02988600405021|67.18675633761104
-27|-10|8.192778608129373|39.195267753838266|66.31412955903465
-26|-10|9.53265349986556|38.39079983782365|65.495464734489
-25|-10|10.881774792048589|37.61478507247668|64.72203156972597
-24|-10|12.235635663803052|36.86565741119522|63.9869675767769
-23|-10|13.590482463124644|36.14196897910252|63.28476432594704
-22|-10|14.943200081525461|35.442378783558|62.511798342408966
-21|-10|16.291209977831613|34.76564283242688|61.375605597510585
-20|-10|17.632382693555215|34.11060544360934|60.27682621653139
-19|-10|18.36413296815644|33.47619156947422|59.21233678869001
-18|-10|18.77717161044312|32.86139999144053|58.17941639068753
-17|-10|19.226758536676485|32.26529726503739|57.175674137413154
-16|-10|19.71226757229958|31.687012315851582|56.19899304195886
-15|-10|20.233219994930096|31.125731602974696|55.24748588472099
-14|-10|20.789261406640932|30.580694779721433|54.31946007361613
-13|-10|21.380143524541623|30.051190792172093|53.413389337542604
-12|-10|22.005709956773273|29.536554364974386|52.52789068415368
-11|-10|22.66588521504677|29.036162831213765|51.66170546380305
-10|-10|23.36066636883814|28.549433269319692|50.81368367292022
-9|-10|24.090116873282987|28.07581991516045|49.98277083996426
-8|-10|24.854362206825613|27.614811821861515|49.167996990424875
-7|-10|25.6535870400551|27.165930743626937|48.3684673007756
-6|-10|26.488033727860135|26.728729223050557|47.58335413624134
-5|-10|27.358001976559045|26.302788864184954|46.81189023154869
-4|-10|28.26384958907888|25.887718776056943|46.05336282303402
-3|-10|29.205994237264612|25.483154173451354|45.30710857848014
-2|-10|30.18491625346831|25.08875512368136|44.57250920067653
-1|-10|31.20116247605994|24.704205429765466|43.84898760398603
0|-10|32.25535122785012|24.329211641986653|43.136004581663016
1|-10|33.348178555296364|23.96350219124021|42.433055896422005
2|-10|34.48042591294595|23.606826638926826|41.739669738640025
3|-10|35.65296954582313|23.258955039434376|41.05540450621907
4|-10|36.866791907587334|22.919677412510588|40.3798468680269
5|-10|38.122995561353605|22.588803324080658|39.7126100793387
6|-10|39.422820152942876|22.266161575339183|39.05333252311313
7|-10|40.76766323711437|21.951600001270435|38.40167645547765
8|-10|0|0|0
9|-10|0|0|0
10|-10|0|0|0
11|-10|0|0|0
12|-10|0|0|0
13|-10|0|0|0
14|-10|0|0|0
15|-10|0|0|0
16|-10|0|0|0
17|-10|0|0|0
18|-10|0|0|0
19|-10|0|0|0
20|-10|0|0|0
21|-10|0|0|0
22|-10|0|0|0
23|-10|0|0|0
24|-10|0|0|0
25|-10|0|0|0
26|-10|0|0|0
27|-10|0|0|0
28|-10|0|0|0
29|-10|0|0|0
30|-10|0|0|0
-30|-9|4.287462628451479|43.03928784507272|67.78491257913002
-29|-9|5.563280083328166|42.115289138176315|66.84813694014542
-28|-9|6.867531161854146|41.22586060136331|65.97579970850177
-27|-9|8.192778608129345|40.36894194314554|65.15676811196596
-26|-9|9.532653499865532|39.54264383528908|64.38248305846749
-25|-9|10.881774792048631|38.74522916334793|63.64620013683056
-24|-9|12.23563566380308|37.975096983735654|62.94249540176099
-23|-9|13.59048246312463|37.23076870337248|61.909910526888126
-22|-9|14.943200081525504|36.51087610048933|60.77008395015484
-21|-9|16.291209977831556|35.814150883072955|59.66834316232156
-20|-9|17.632382693555186|35.139415541242585|58.60155411895295
-19|-9|18.364132968156397|34.485575296205226|57.566982075348676
-18|-9|18.777171610443105|33.851610984716146|56.562220420980296
-17|-9|19.226758536676485|33.23657274659959|55.58513541061499
-16|-9|19.71226757229958|32.63957440567629|54.63382262851965
-15|-9|20.233219994930096|32.0597884527249|53.706572256025716
-14|-9|20.789261406640904|31.496441553887834|52.801841042758966
-13|-9|21.38014352454161|30.94881051996373|51.918229451640954
-12|-9|22.005709956773288|30.41621868190274|51.05446284614003
-11|-9|22.66588521504677|29.89803262596783|50.20937587143225
-10|-9|23.360666368838153|29.393659248801946|49.381899385496496
-9|-9|24.090116873282987|28.90254309831092|48.57104944571476
-8|-9|24.85436220682559|28.42416397104534|47.77591796737638
-7|-9|25.653587040055115|27.958034740818242|46.995664753603975
-6|-9|26.48803372786015|27.503699396751934|46.229510659228396
-5|-9|27.35800197655901|27.06073127192341|45.476731699409704
-4|-9|28.26384958907886|26.62873144635855|44.73665395112291
-3|-9|29.205994237264612|26.207327310380137|44.00864912474847
-2|-9|30.1849162534683|25.796171276307604|43.292130705931385
-1|-9|31.20116247605995|25.39493962828088|42.58655058605409
0|-9|32.25535122785012|25.00333150159001|41.891396114214366
1|-9|33.34817855529641|24.621067984356742|41.20618751531961
2|-9|34.48042591294592|24.247891335785013|40.53047562842332
3|-9|35.65296954582311|23.883564316488346|39.86383992722009
4|-9|36.86679190758732|23.52786962765105|39.20588679103362
5|-9|38.12299556135357|23.180609457007357|38.556247999971966
6|-9|39.42282015294282|22.841605130860216|37.91457943239902
7|-9|40.76766323711436|22.510696872629993|37.28055994665836
8|-9|42.159105996595514|22.18774366976028|36.653890432226774
9|-9|43.59894525201031|21.872623252237332|36.03429301827265
10|-9|0|0|0
11|-9|0|0|0
12|-9|0|0|0
13|-9|0|0|0
14|-9|0|0|0
15|-9|0|0|0
16|-9|0|0|0
17|-9|0|0|0
18|-9|0|0|0
19|-9|0|0|0
20|-9|0|0|0
21|-9|0|0|0
22|-9|0|0|0
23|-9|0|0|0
24|-9|0|0|0
25|-9|0|0|0
26|-9|0|0|0
27|-9|0|0|0
28|-9|0|0|0
29|-9|0|0|0
30|-9|0|0|0
-30|-8|4.287462628451493|44.30614131328747|66.53977472609664
-29|-8|5.563280083328124|43.35867585584602|65.66514642886216
-28|-8|6.8675311618541315|42.446386525917646|64.84354751215824
-27|-8|8.192778608129402|41.56715235218513|64.06650261120032
-26|-8|9.532653499865589|40.719032061321954|63.327323393972414
-25|-8|10.881774792048674|39.900243730335525|62.52877031099567
-24|-8|12.235635663803123|39.109147477106255|61.34110331356467
-23|-8|13.590482463124616|38.34423062870143|60.19599227508267
-22|-8|14.943200081525518|37.60409492891189|59.08978147063304
-21|-8|16.291209977831613|36.88744543837197|58.01930692843026
-20|-8|17.632382693555243|36.19308085070676|56.98180416759644
-19|-8|18.364132968156397|35.51988500212447|55.97483754882109
-18|-8|18.777171610443133|34.8668193938409|54.996245316233896
-17|-8|19.226758536676485|34.232916579655374|54.0440962400361
-16|-8|19.71226757229958|33.61727429705436|53.11665497643224
-15|-8|20.233219994930067|33.019050241010284|52.21235407494164
-14|-8|20.78926140664089|32.43745739635881|51.329771122643976
-13|-8|21.380143524541623|31.871759858174954|50.46760990669743
-12|-8|22.005709956773302|31.321269080616815|49.62468475537165
-11|-8|22.66588521504677|30.78534050377862|48.79990741938528
-10|-8|23.360666368838153|30.263370515600286|47.99227600299752
-9|-8|24.090116873283023|29.75479371212797|47.20086556386294
-8|-8|24.854362206825563|29.259080424659032|46.424820082903885
-7|-8|25.653587040055037|28.77573448672151|45.66334556786927
-6|-8|26.488033727860113|28.304291217592755|44.91570410209519
-5|-8|27.358001976559045|27.84431560227228|44.181208687013275
-4|-8|28.26384958907886|27.39540065059255|43.45921875586947
-3|-8|29.205994237264612|26.957165920556925|42.74913625888302
-2|-8|30.18491625346831|26.529256193102306|42.0504022381584
-1|-8|31.20116247605995|26.11134028735536|41.36249382512086
0|-8|32.25535122785014|25.703110007121715|40.68492160491317
1|-8|33.34817855529641|25.304279210869574|40.01722730165545
2|-8|34.48042591294595|24.91458299886773|39.35898174622289
3|-8|35.652969545823126|24.533777012446798|38.70978309458391
4|-8|36.866791907587334|24.161636841604675|38.06925527005055
5|-8|38.122995561353605|23.797957538391124|37.437046607236766
6|-8|39.422820152942855|23.442553234715994|36.81282867928687
7|-8|40.7676632371144|23.0952568644544|36.19629529313574
8|-8|42.15910599659547|22.75591999099666|35.58716164033975
9|-8|43.598945252010246|22.424412742745673|34.98516359342886
10|-8|45.08923366445648|22.100623860529893|34.39005713987674
11|-8|0|0|0
12|-8|0|0|0
13|-8|0|0|0
14|-8|0|0|0
15|-8|0|0|0
16|-8|0|0|0
17|-8|0|0|0
18|-8|0|0|0
19|-8|0|0|0
20|-8|0|0|0
21|-8|0|0|0
22|-8|0|0|0
23|-8|0|0|0
24|-8|0|0|0
25|-8|0|0|0
26|-8|0|0|0
27|-8|0|0|0
28|-8|0|0|0
29|-8|0|0|0
30|-8|0|0|0
-30|-7|4.287462628451564|45.59834797064035|65.38099954069054
-29|-7|5.563280083328166|44.62726477397386|64.5547559668025
-28|-7|6.867531161854146|43.69200945010958|63.77314367746069
-27|-7|8.192778608129373|42.79039169699395|63.02947409258837
-26|-7|9.532653499865503|41.9204112047355|61.99992197593608
-25|-7|10.881774792048631|41.080235394757956|60.80433907178971
-24|-7|12.23563566380308|40.26818060044711|59.65231744714327
-23|-7|13.590482463124673|39.48269603428344|58.54014956070831
-22|-7|14.943200081525475|38.722350032675216|57.46462309580011
-21|-7|16.29120997783164|37.98581817916618|56.42292856380936
-20|-7|17.632382693555215|37.271872989534245|55.41258847021734
-19|-7|18.364132968156383|36.57937490568328|54.43140215276677
-18|-7|18.777171610443148|35.907264394188054|53.477402218081956
-17|-7|19.22675853667647|35.25455498353257|52.54881970199277
-16|-7|19.712267572299567|34.620327104117855|51.644055887901786
-15|-7|20.233219994930096|34.00372261893522|50.76165927450388
-14|-7|20.789261406640904|33.40393995185287|49.90030657458655
-13|-7|21.380143524541623|32.82022973580823|49.05878690479736
-12|-7|22.005709956773302|32.25189091565052|48.23598852742877
-11|-7|22.665885215046785|31.698267250559482|47.43088765276896
-10|-7|23.36066636883814|31.15874416933753|46.64253892006247
-9|-7|24.090116873282994|30.632745938811475|45.87006725737917
-8|-7|24.85436220682555|30.119733111366642|45.11266088314789
-7|-7|25.653587040055093|29.619200222487684|44.36956526000977
-6|-7|26.488033727860135|29.130673713287827|43.64007784873862
-5|-7|27.358001976559045|28.653710056498845|42.92354353894992
-4|-7|28.26384958907886|28.187894067385095|42.21935065614315
-3|-7|29.20599423726462|27.732837383633715|41.52692746275196
-2|-7|30.18491625346833|27.288177100522603|40.84573908538028
-1|-7|31.20116247605994|26.853574549651277|40.175284812099335
0|-7|32.25535122785016|26.42871421128045|39.51509571318181
1|-7|33.348178555296386|26.013302751910743|38.86473254641667
2|-7|34.48042591294595|25.607068180178608|38.22378391456096
3|-7|35.65296954582313|25.20975911548536|37.59186464779615
4|-7|36.866791907587334|24.8211441650422|36.968614388517516
5|-7|38.122995561353605|24.441011406226934|36.35369635953612
6|-7|39.42282015294279|24.06916797234416|35.74679629998222
7|-7|40.767663237114434|23.705439741076745|35.14762155595156
8|-7|42.15910599659543|23.349671126147342|34.55590031533963
9|-7|43.59894525201022|23.001724973998876|33.971380978424875
10|-7|45.08923366445647|22.661482568684576|33.39383165766056
11|-7|46.63233075314937|22.328843749671037|32.82303980186131
12|-7|48.23096840164034|22.003727148935482|32.25881194157352
13|-7|0|0|0
14|-7|0|0|0
15|-7|0|0|0
16|-7|0|0|0
17|-7|0|0|0
18|-7|0|0|0
19|-7|0|0|0
20|-7|0|0|0
21|-7|0|0|0
22|-7|0|0|0
23|-7|0|0|0
24|-7|0|0|0
25|-7|0|0|0
26|-7|0|0|0
27|-7|0|0|0
28|-7|0|0|0
29|-7|0|0|0
30|-7|0|0|0
-30|-6|4.287462628451479|46.91673650157201|64.28958471534511
-29|-6|5.563280083328195|45.92180155249469|63.501666670317434
-28|-6|6.86753116185416|44.96340331499196|62.751970743548654
-27|-6|8.19277860812933|44.039271738227896|61.50403971588291
-26|-6|9.532653499865503|43.14733895569623|60.2987615309183
-25|-6|10.881774792048631|42.28571471976249|59.13821041041466
-24|-6|12.23563566380308|41.45266577211585|58.01860506838274
-23|-6|13.590482463124673|40.646598376914724|56.93666684960183
-22|-6|14.943200081525518|39.86604342071484|55.88952628113785
-21|-6|16.29120997783157|39.10964361490976|54.87465139099139
-20|-6|17.6323826935552|38.37614243529313|53.889791854410674
-19|-6|18.36413296815641|37.66437450845556|52.932934858492615
-18|-6|18.777171610443148|36.97325721235048|52.00226978404518
-17|-6|19.226758536676485|36.30178330300865|51.09615961942308
-16|-6|19.712267572299567|35.649014414283904|50.21311758282456
-15|-6|20.23321999493008|35.01407530503071|49.35178782342196
-14|-6|20.789261406640932|34.396148749999675|48.510929352431596
-13|-6|21.380143524541623|33.79447098825901|47.6894025583014
-12|-6|22.005709956773302|33.20832765710678|46.886157809117876
-11|-6|22.6658852150468|32.63705015093514|46.1002257559286
-10|-6|23.360666368838153|32.080012353928666|45.33070903376377
-9|-6|24.09011687328301|31.53662770323566|44.57677512023778
-8|-6|24.854362206825577|31.0063465456925|43.837650160024246
-7|-6|25.65358704005508|30.488653756555337|43.11261360097404
-6|-6|26.488033727860085|29.98306659321416|42.400993516940595
-5|-6|27.358001976559038|29.489132760691852|41.70216251544362
-4|-6|28.26384958907886|29.006428668988264|41.01553414663007
-3|-6|29.205994237264605|28.534557865134744|40.34055974465514
-2|-6|30.1849162534683|28.07314962524633|39.676725644427826
-1|-6|31.201162476059977|27.62185769397903|39.023550726267686
0|-6|32.25535122785016|27.18035916066969|38.38058424887198
1|-6|33.34817855529642|26.748353463103697|37.747403937461684
2|-6|34.48042591294592|26.325561511365706|37.12361429934298
3|-6|35.65296954582311|25.911724925612106|36.50884514361206
4|-6|36.86679190758732|25.50660538289636|35.90275028551482
5|-6|38.12299556135357|25.10998406940552|35.3050064191939
6|-6|39.42282015294282|24.721661235656953|34.715312145320894
7|-6|40.767663237114405|24.34145585338485|34.13338714251131
8|-6|42.15910599659547|23.969205374041124|33.558971473531926
9|-6|43.598945252010246|23.604765590078102|32.99182501919106
10|-6|45.089233664456515|23.248010601490606|32.431727034506714
11|-6|46.63233075314939|22.89883289152155|31.878475823317665
12|-6|48.23096840164036|22.55714351699868|31.331888528982375
13|-6|49.88833609134881|22.222872420531218|30.791801040227817
14|-6|51.608193486318804|21.895968873795297|30.25806801261092
15|-6|0|0|0
16|-6|0|0|0
17|-6|0|0|0
18|-6|0|0|0
19|-6|0|0|0
20|-6|0|0|0
21|-6|0|0|0
22|-6|0|0|0
23|-6|0|0|0
24|-6|0|0|0
25|-6|0|0|0
26|-6|0|0|0
27|-6|0|0|0
28|-6|0|0|0
29|-6|0|0|0
30|-6|0|0|0
-30|-5|4.287462628451564|48.26230613208366|63.251515311443015
-29|-5|5.563280083328237|47.24318739468286|62.307779586849215
-28|-5|6.867531161854103|46.261384813138484|61.04044440412203
-27|-5|8.192778608129373|45.31453598553686|59.823681454028325
-26|-5|9.532653499865546|44.40049521700068|58.65297337448008
-25|-5|10.881774792048631|43.517306157818474|57.5244433008213
-24|-5|12.235635663803123|42.663178989261404|56.43472827760119
-23|-5|13.590482463124658|41.83647123448086|55.38088386193199
-22|-5|14.943200081525532|41.035671489350165|54.36031094648458
-21|-5|16.2912099778316|40.2593855281594|53.370698735665
-20|-5|17.632382693555186|39.506324358310955|52.40997967901943
-19|-5|18.364132968156426|38.77529388803319|51.47629340052673
-18|-5|18.777171610443133|38.065185939592126|50.56795749563895
-17|-5|19.22675853667647|37.37497039315583|49.68344364155426
-16|-5|19.712267572299567|36.70368828738968|48.82135786831524
-15|-5|20.233219994930096|36.05044573492141|47.98042412482389
-14|-5|20.789261406640932|35.41440853615817|47.15947048108008
-13|-5|21.380143524541623|34.79479739512706|46.35741745987385
-12|-5|22.005709956773302|34.19088365721126|45.57326810395915
-11|-5|22.665885215046757|33.60198550175994|44.80609946946775
-10|-5|23.360666368838125|33.02746453321857|44.05505530065998
-9|-5|24.090116873282973|32.46672272317436|43.31933969045333
-8|-5|24.854362206825627|31.9191996629321|42.59821156937831
-7|-5|25.65358704005513|31.384370092233873|41.89097989545556
-6|-5|26.488033727860085|30.861741674755933|41.19699944100051
-5|-5|27.358001976559038|30.350852995237233|40.51566709102717
-4|-5|28.263849589078852|29.851271756678216|39.84641858286059
-3|-5|29.205994237264612|29.362593159106012|39.18872562860613
-2|-5|30.1849162534683|28.884438444034622|38.54209337189599
-1|-5|31.20116247605992|28.416453591034497|37.90605813832522
0|-5|32.255351227850134|27.958308154826554|37.280185445566794
1|-5|33.348178555296364|27.509694233090144|36.66406824461101
2|-5|34.48042591294591|27.070325556763542|36.057325368134904
3|-5|35.65296954582313|26.639936696058953|35.459600165840506
4|-5|36.86679190758728|26.218282376749002|34.8705593098653
5|-5|38.122995561353584|25.805136902533143|34.289891756156116
6|-5|39.42282015294283|25.400293680493796|33.7173078501189
7|-5|40.76766323711437|25.003564847826013|33.15253856697417
8|-5|42.15910599659543|24.614780999200036|32.59533487912773
9|-5|43.598945252010196|24.233791015319973|32.0454672445613
10|-5|45.089233664456515|23.860461994500838|31.5027252117994
11|-5|46.632330753149496|23.494679290434476|30.966917138458378
12|-5|48.23096840164032|23.136346660788135|30.437870021768774
13|-5|49.888336091348755|22.78538653291408|29.915429440808133
14|-5|51.60819348631884|22.44174039480123|29.399459611530297
15|-5|53.39502172249555|22.105369321519575|28.889843557053
16|-5|0|0|0
17|-5|0|0|0
18|-5|0|0|0
19|-5|0|0|0
20|-5|0|0|0
21|-5|0|0|0
22|-5|0|0|0
23|-5|0|0|0
24|-5|0|0|0
25|-5|0|0|0
26|-5|0|0|0
27|-5|0|0|0
28|-5|0|0|0
29|-5|0|0|0
30|-5|0|0|0
-30|-4|4.287462628451507|49.63625065177164|61.89089794594971
-29|-4|5.563280083328124|48.59249973012605|60.60863044977716
-28|-4|6.867531161854146|47.58693133788189|59.37856589485867
-27|-4|8.192778608129387|46.61707538595031|58.1960500673876
-26|-4|9.532653499865532|45.68069590532383|57.05708832064424
-25|-4|10.881774792048631|44.77576026327973|55.958215114476495
-24|-4|12.235635663803109|43.900413692321514|54.89639576493486
-23|-4|13.590482463124673|43.05295801806048|53.86895111688941
